Cidade,Monumento,Domestico-2019-20,Estrangeiro-2019-20,Domestico-2020-21,Estrangeiro-2020-21,Crescimento-Domestico-21/19,Crescimento-Estrangeiro-21/19,Avaliacao
0,130,4429710.0,645415.0,1259892.0,9034.0,-71.56,-98.6,1
0,1,1627154.0,386522.0,371242.0,2810.0,-77.18,-99.27,1
0,48,454376.0,184751.0,107835.0,574.0,-76.27,-99.69,0
0,4,229270.0,19625.0,99509.0,321.0,-56.6,-98.36,0
0,89,22517.0,414.0,9765.0,31.0,-56.63,-92.51,0
0,74,132800.0,82692.0,41016.0,410.0,-69.11,-99.5,1
0,107,84051.0,355.0,18599.0,54.0,-77.87,-84.79,0
0,91,178574.0,62325.0,62652.0,544.0,-64.92,-99.13,0
0,90,474462.0,12536.0,91185.0,321.0,-80.78,-97.44,0
33,139,7632914.0,1394635.0,2061695.0,14099.0,-72.99,-98.99,1
21,125,74597.0,13628.0,27201.0,35.0,-63.54,-99.74,0
21,114,116348.0,3367.0,57194.0,37.0,-50.84,-98.9,0
21,102,38342.0,3098.0,12062.0,3.0,-68.54,-99.9,1
33,139,229287.0,20093.0,96457.0,75.0,-57.93,-99.63,0
17,67,1348.0,32.0,931.0,0.0,-30.93,-100.0,0
17,78,81507.0,137.0,80291.0,27.0,-1.49,-80.29,1
17,111,15954.0,50.0,5712.0,5.0,-64.2,-90.0,1
17,109,361294.0,705.0,174622.0,107.0,-51.67,-84.82,0
33,139,460103.0,924.0,261556.0,139.0,-43.15,-84.96,1
28,87,18318.0,85.0,5289.0,9.0,-71.13,-89.41,1
28,98,198922.0,114.0,67163.0,127.0,-66.24,11.4,0
28,96,83059.0,954.0,21379.0,11.0,-74.26,-98.85,1
28,47,485309.0,100590.0,170590.0,384.0,-64.85,-99.62,1
28,137,6819.0,9.0,1972.0,2.0,-71.08,-77.78,1
28,7,55144.0,5186.0,14956.0,46.0,-72.88,-99.11,1
33,139,847571.0,106938.0,281349.0,579.0,-66.81,-99.46,1
31,20,334846.0,728.0,115333.0,242.0,-65.56,-66.76,1
31,145,300465.0,79355.0,23026.0,177.0,-92.34,-99.78,0
31,49,174589.0,241.0,43927.0,26.0,-74.84,-89.21,0
31,51,234518.0,3305.0,65683.0,115.0,-71.99,-96.52,1
33,139,1044418.0,83629.0,247969.0,560.0,-76.26,-99.33,1
7,62,1260358.0,53422.0,808145.0,29145.0,-35.88,-45.44,0
7,56,107073.0,1736.0,125109.0,2272.0,16.84,30.88,0
7,135,43733.0,1063.0,58206.0,868.0,33.09,-18.34,1
33,139,1411164.0,56221.0,991460.0,32285.0,-29.74,-42.57,1
32,53,24657.0,94.0,25603.0,99.0,3.84,5.32,1
32,93,19114.0,46.0,1476.0,9.0,-92.28,-80.43,1
32,115,31876.0,188.0,41791.0,235.0,31.1,25.0,0
32,136,30046.0,460.0,217.0,3.0,-99.28,-99.35,0
32,95,23928.0,645.0,2490.0,19.0,-89.59,-97.05,1
32,50,294829.0,5259.0,41487.0,1555.0,-85.93,-70.43,0
32,52,159492.0,340.0,5058.0,36.0,-96.83,-89.41,1
33,139,583942.0,7032.0,118122.0,1956.0,-79.77,-72.18,1
4,26,19920.0,42.0,23692.0,0.0,18.94,-100.0,1
4,134,47305.0,272.0,13926.0,27.0,-70.56,-90.07,1
4,71,130094.0,2017.0,57769.0,39.0,-55.59,-98.07,1
4,66,408302.0,2427.0,181868.0,128.0,-55.46,-94.73,1
4,117,392485.0,1884.0,148680.0,91.0,-62.12,-95.17,1
4,28,250706.0,3986.0,58979.0,41.0,-76.47,-98.97,1
4,68,255734.0,7744.0,101464.0,130.0,-60.32,-98.32,1
4,30,32578.0,4.0,12303.0,13.0,-62.24,225.0,0
4,18,13708.0,89.0,9689.0,5.0,-29.32,-94.38,0
4,34,53546.0,741.0,11601.0,10.0,-78.33,-98.65,1
4,22,23382.0,736.0,14045.0,12.0,-39.93,-98.37,0
33,139,1627760.0,19942.0,634016.0,496.0,-61.05,-97.51,1
15,11,23354.0,18.0,16546.0,8.0,-29.15,-55.56,0
15,144,244995.0,41741.0,128515.0,275.0,-47.54,-99.34,0
15,63,57408.0,42.0,23598.0,13.0,-58.89,-69.05,0
33,139,325757.0,41801.0,168659.0,296.0,-48.23,-99.29,1
9,43,186767.0,3849.0,75089.0,99.0,-59.8,-97.43,0
9,75,372051.0,6758.0,172259.0,167.0,-53.7,-97.53,0
9,61,262144.0,4310.0,123110.0,61.0,-53.04,-98.58,1
9,57,813943.0,1683.0,283256.0,75.0,-65.2,-95.54,1
9,73,155565.0,1290.0,57759.0,12.0,-62.87,-99.07,1
9,132,13019.0,91.0,5652.0,0.0,-56.59,-100.0,0
33,139,1803489.0,17981.0,717125.0,414.0,-60.24,-97.7,1
13,60,587238.0,27006.0,273456.0,627.0,-53.43,-97.68,0
13,21,28723.0,56.0,11069.0,9.0,-61.46,-83.93,0
33,139,615961.0,27062.0,284525.0,636.0,-53.81,-97.65,1
3,40,646560.0,14016.0,89006.0,306.0,-86.23,-97.82,1
3,80,178425.0,8653.0,64222.0,196.0,-64.01,-97.73,1
3,100,256964.0,10719.0,38706.0,270.0,-84.94,-97.48,1
3,54,338340.0,1095.0,144862.0,297.0,-57.18,-72.88,1
33,139,1420289.0,34483.0,336796.0,1069.0,-76.29,-96.9,1
25,39,465553.0,52.0,126135.0,161.0,-72.91,209.62,0
25,70,674113.0,1723.0,361546.0,649.0,-46.37,-62.33,1
33,139,1139666.0,1775.0,487681.0,810.0,-57.21,-54.37,1
19,24,154986.0,505.0,117107.0,237.0,-24.44,-53.07,1
19,92,605.0,27.0,7818.0,24.0,1192.23,-11.11,0
33,139,155591.0,532.0,124925.0,261.0,-19.71,-50.94,1
27,14,6176.0,168.0,10498.0,16.0,69.98,-90.48,1
27,25,18755.0,796.0,58.0,0.0,-99.69,-100.0,0
27,17,5858.0,142.0,1691.0,1.0,-71.13,-99.3,1
33,139,30789.0,1106.0,12247.0,17.0,-60.22,-98.46,1
34,35,59402.0,1948.0,39014.0,81.0,-34.32,-95.84,0
34,128,208028.0,3732.0,85407.0,103.0,-58.94,-97.24,1
34,110,337134.0,3816.0,96900.0,143.0,-71.26,-96.25,1
34,118,388042.0,7907.0,86840.0,204.0,-77.62,-97.42,0
33,139,992606.0,17403.0,308161.0,531.0,-68.95,-96.95,1
5,127,1997427.0,5294.0,530886.0,142.0,-73.42,-97.32,1
5,9,311115.0,2489.0,73727.0,57.0,-76.3,-97.71,1
5,106,16916.0,506.0,8237.0,3.0,-51.31,-99.41,1
5,133,34562.0,571.0,20616.0,20.0,-40.35,-96.5,0
5,120,44573.0,389.0,18359.0,8.0,-58.81,-97.94,0
33,139,2404593.0,9249.0,651825.0,230.0,-72.89,-97.51,0
2,3,273344.0,15899.0,47554.0,82.0,-82.6,-99.48,0
2,45,1259261.0,21426.0,163313.0,159.0,-87.03,-99.26,0
2,138,1111778.0,9530.0,203791.0,100.0,-81.67,-98.95,1
2,41,515935.0,5729.0,105434.0,49.0,-79.56,-99.14,0
2,101,202871.0,1128.0,29.0,0.0,-99.99,-100.0,1
2,15,182032.0,2690.0,34976.0,19.0,-80.79,-99.29,1
33,139,3545221.0,56402.0,555097.0,409.0,-84.34,-99.27,1
22,44,686862.0,37891.0,82136.0,281.0,-88.04,-99.26,1
22,27,401808.0,12106.0,213.0,0.0,-99.95,-100.0,0
22,122,1128072.0,8505.0,160547.0,87.0,-85.77,-98.98,0
22,0,219939.0,9264.0,18963.0,55.0,-91.38,-99.41,1
22,31,354946.0,105.0,73899.0,6.0,-79.18,-94.29,0
22,33,219758.0,2068.0,51045.0,21.0,-76.77,-98.98,0
22,32,80319.0,1872.0,10976.0,24.0,-86.33,-98.72,1
22,105,218338.0,82.0,76438.0,0.0,-64.99,-100.0,1
22,82,112405.0,112.0,50421.0,12.0,-55.14,-89.29,0
22,97,62238.0,45.0,11293.0,1.0,-81.86,-97.78,1
22,76,253315.0,151.0,149221.0,7.0,-41.09,-95.36,0
22,83,41490.0,591.0,167.0,0.0,-99.6,-100.0,1
22,86,161651.0,579.0,31042.0,21.0,-80.8,-96.37,0
33,139,3941141.0,73371.0,716361.0,515.0,-81.82,-99.3,0
23,55,43795.0,11.0,5.0,0.0,-99.99,-100.0,1
23,6,1596.0,65.0,8.0,0.0,-99.5,-100.0,0
33,139,45391.0,76.0,13.0,0.0,-99.97,-100.0,1
6,129,91447.0,72.0,11132.0,14.0,-87.83,-80.56,1
6,123,39763.0,46.0,30292.0,75.0,-23.82,63.04,0
33,139,131210.0,118.0,41424.0,89.0,-68.43,-24.58,1
8,81,1782.0,45.0,3002.0,10.0,68.46,-77.78,1
8,126,530.0,6.0,22969.0,233.0,4233.77,3783.33,0
8,140,76135.0,908.0,12856.0,109.0,-83.11,-88.0,1
8,112,2200044.0,91364.0,187380.0,1438.0,-91.48,-98.43,1
8,72,658318.0,202288.0,243836.0,2381.0,-62.96,-98.82,1
8,104,2048146.0,255318.0,476063.0,2849.0,-76.76,-98.88,0
8,69,145544.0,2625.0,39837.0,148.0,-72.63,-94.36,0
8,77,203197.0,6516.0,76108.0,230.0,-62.54,-96.47,0
8,121,72938.0,15977.0,56776.0,392.0,-22.16,-97.55,0
8,84,89397.0,810.0,27763.0,106.0,-68.94,-86.91,1
8,103,662300.0,5493.0,200846.0,936.0,-69.67,-82.96,1
33,139,6158331.0,581350.0,1347436.0,8832.0,-78.12,-98.48,1
12,2,44700.0,175.0,25443.0,69.0,-43.08,-60.57,1
12,79,119912.0,577.0,54595.0,93.0,-54.47,-83.88,0
12,108,69063.0,546.0,33939.0,75.0,-50.86,-86.26,0
12,23,21062.0,118.0,2921.0,0.0,-86.13,-100.0,0
12,65,23111.0,141.0,19866.0,72.0,-14.04,-48.94,1
33,139,277848.0,1557.0,136764.0,309.0,-50.78,-80.15,1
10,142,837898.0,8104.0,379726.0,340.0,-54.68,-95.8,1
33,139,837898.0,8104.0,379726.0,340.0,-54.68,-95.8,0
14,37,1151933.0,7803.0,297548.0,182.0,-74.17,-97.67,0
14,58,1630419.0,20572.0,527096.0,912.0,-67.67,-95.57,1
14,143,92690.0,277.0,64339.0,54.0,-30.59,-80.51,1
33,139,2875042.0,28652.0,888983.0,1148.0,-69.08,-95.99,1
16,10,190833.0,1893.0,53946.0,85.0,-71.73,-95.51,1
16,19,66821.0,85732.0,44284.0,115.0,-33.73,-99.87,0
16,42,28510.0,1067.0,12772.0,30.0,-55.2,-97.19,0
33,139,286164.0,88692.0,111002.0,230.0,-61.21,-99.74,1
18,38,565133.0,15188.0,223328.0,206.0,-60.48,-98.64,1
18,85,495276.0,11208.0,203050.0,208.0,-59.0,-98.14,0
18,88,241299.0,98.0,131764.0,141.0,-45.39,43.88,1
33,139,1301708.0,26494.0,558142.0,555.0,-57.12,-97.91,1
20,8,56639.0,5671.0,2047.0,6.0,-96.39,-99.89,0
33,139,56639.0,5671.0,2047.0,6.0,-96.39,-99.89,1
24,113,109962.0,207.0,25834.0,25876.0,-76.51,12400.48,1
24,13,89631.0,12962.0,49207.0,49213.0,-45.1,279.67,0
24,46,437506.0,26903.0,105748.0,105816.0,-75.83,293.32,0
24,12,65573.0,436.0,27583.0,27583.0,-57.94,6226.38,1
24,124,208177.0,153.0,95051.0,95133.0,-54.34,62078.43,0
33,139,910849.0,40661.0,303423.0,303621.0,-66.69,646.71,0
26,131,63759.0,96.0,44742.0,44746.0,-29.83,46510.42,1
33,139,63759.0,96.0,44742.0,44746.0,-29.83,46510.42,0
29,119,91306.0,1758.0,100454.0,252.0,10.02,-85.67,1
29,116,73439.0,1709.0,53123.0,209.0,-27.66,-87.77,1
33,139,164745.0,3467.0,153577.0,461.0,-6.78,-86.7,1
30,99,6610.0,0.0,2129.0,0.0,-67.79,43607076.0,1
30,16,9939.0,32.0,5706.0,8.0,-42.59,-75.0,1
30,64,5731.0,4.0,5816.0,0.0,1.48,-100.0,1
33,139,22280.0,36.0,13651.0,8.0,-38.73,-77.78,0
1,5,8038.0,285.0,1864.0,0.0,-76.81,-100.0,0
1,141,109307.0,494.0,52924.0,89.0,-51.58,-81.98,1
1,94,19762.0,35.0,0.0,0.0,43607076.0,43607076.0,1
1,36,103489.0,109.0,51113.0,38.0,-50.61,-65.14,1
1,29,22353.0,85.0,10219.0,10.0,-54.28,-88.24,1
33,139,262949.0,1008.0,116120.0,137.0,-55.84,-86.41,0
11,59,43607075.0,2756561.0,13153076.0,415859.0,-69.84,-84.91,0
